1,124 Spider,1
2,500,1
3,500C,1
4,500e,1
5,500e C,1
6,595,1
7,595C,1
8,600e,1
9,695,1
10,695C,1
12,Punto Evo,1
17,145,4
19,147,4
20,156,4
21,156 Sportwagon,4
22,159,4
23,159 Sportwagon,4
24,164,4
25,166,4
28,4C,4
29,75,4
30,8C,4
32,Brera,4
33,Giulia,4
34,Giulietta,4
35,GT,4
36,GTV,4
37,Junior,4
38,MiTo,4
39,Spider,4
40,Stelvio,4
41,Tonale,4
42,A110,5
43,A290,5
48,Cygnet,8
49,DB11,8
50,DB12,8
56,DB7,8
57,DB9,8
59,DBS,8
60,DBX,8
61,Rapide,8
62,Rapide S,8
63,V8,8
64,Vanquish,8
65,Vantage,8
66,Virage,8
67,100,9
68,80,9
69,A1,9
70,A2,9
71,A3,9
72,A3 Cabriolet,9
73,A4,9
74,A4 Allroad,9
75,A4 Avant,9
76,A4 Cabriolet,9
77,A5,9
78,A5 Avant,9
79,A5 Cabriolet,9
80,A6 Allroad,9
81,A6 Avant,9
82,A6 e-tron Avant,9
83,A6 e-tron Sportback,9
84,A6 Saloon,9
86,A7,9
87,A8,9
88,Allroad,9
89,Cabriolet,9
90,Coupe,9
91,e-tron,9
92,e-tron GT,9
93,e-tron S,9
94,Q2,9
95,Q3,9
96,Q4 e-tron,9
97,Q5,9
98,Q6 e-tron,9
99,Q7,9
100,Q8,9
101,Q8 e-tron,9
103,R8,9
104,RS3,9
106,RS4 Avant,9
108,RS5,9
109,RS6,9
110,RS6 Avant,9
111,RS7,9
112,RS e-tron GT,9
113,RS Q3,9
114,RSQ8,9
115,S1,9
116,S3,9
117,S4,9
118,S4 Avant,9
120,S5,9
121,S5 Avant,9
122,S6 Avant,9
123,S6 e-tron Avant,9
124,S6 Saloon,9
125,S7,9
126,S8,9
127,S e-tron GT,9
128,SQ2,9
129,SQ5,9
130,SQ6 e-tron,9
131,SQ7,9
132,SQ8,9
133,SQ8 e-tron,9
134,TT,9
135,TT RS,9
136,TTS,9
138,Ambassador,10
140,Maestro,10
141,Metro,10
142,Mini,10
151,Arnage,13
152,Azure,13
153,Bentayga,13
155,Continental,13
157,Flying Spur,13
159,Mulsanne,13
165,1 Series,14
167,2 Series,14
168,2 Series Active Tourer,14
169,2 Series Gran Coupe,14
170,2 Series Gran Tourer,14
171,3 Series,14
172,3 Series Gran Turismo,14
173,4 Series,14
174,4 Series Gran Coupe,14
175,5 Series,14
176,5 Series Gran Turismo,14
177,6 Series,14
178,6 Series Gran Coupe,14
179,6 Series Gran Turismo,14
180,7 Series,14
181,8 Series,14
182,8 Series Gran Coupe,14
185,Alpina B3,14
186,Alpina B4 Gran Coupe,14
187,Alpina B5,14
190,Alpina B8 Gran Coupe,14
191,Alpina D3,14
192,Alpina D4,14
193,Alpina D5,14
196,Alpina XD3,14
198,i3,14
199,i4,14
200,i5,14
201,i7,14
202,i8,14
204,iX,14
205,iX1,14
206,iX2,14
207,iX3,14
208,M2,14
209,M3,14
210,M4,14
211,M5,14
212,M6,14
213,M6 Gran Coupe,14
214,M8,14
215,M8 Gran Coupe,14
216,X1,14
217,X2,14
218,X3,14
219,X3 M,14
220,X4,14
221,X4 M,14
222,X5,14
223,X5 M,14
224,X6,14
225,X6 M,14
226,X7,14
227,XM,14
229,Z3,14
231,Z4,14
232,Z4 M,14
233,Z8,14
237,Atto 3,17
238,Dolphin,17
239,Seal,17
240,Sealion 7,17
241,Seal U,17
243,BLS,18
246,Escalade,18
247,SRX,18
249,Seven,19
255,Aveo,21
258,Camaro,21
259,Captiva,21
262,Corvette Stingray,21
263,Cruze,21
264,Kalos,21
265,Lacetti,21
266,Matiz,21
267,Orlando,21
269,Spark,21
272,Tacuma,21
273,Trax,21
274,300C,22
